Designator,Mid X,Mid Y,Layer,Rotation
AND_IC, 3.23,12.08,Top,180.0
C9,18.35, 8.25,Top,180.0
C10,17.95, 2.80,Top,90.0
C11, 9.95,11.70,Top,90.0
C12, 9.45, 9.60,Top,180.0
C13,19.30, 5.00,Top,90.0
C16,17.20,11.90,Top,270.0
C19,18.30,11.90,Top,270.0
C20,18.75, 9.35,Top,0.0
J1,10.50, 2.20,Top,270.0
J2,10.50,16.30,Top,90.0
L1,18.65,14.50,Top,90.0
L2, 9.46, 8.20,Top,270.0
L3, 6.20,10.00,Top,180.0
NAND_IC,10.05, 5.60,Top,0.0
R1, 6.10,12.25,Top,90.0
R7,19.39,13.03,Top,90.0
R10,13.45, 5.55,Top,270.0
R12, 6.75, 8.30,Top,180.0
R13,15.00, 6.35,Top,0.0
R14, 7.70,12.20,Top,270.0
R15, 8.90,11.90,Top,270.0
U$1,17.50, 5.64,Top,90.0
U1,13.60,10.05,Top,270.0
XOR_IC, 3.80, 6.60,Top,0.0
