Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0402_1005Metric,14.134664,10.73172,45.0,top
C2,C,C_0402_1005Metric,10.386998,9.105375,-135.0,top
C3,C,C_0402_1005Metric,11.730501,10.448878,45.0,top
C4,C,C_0402_1005Metric,14.9,5.9,-135.0,top
C5,C,C_0402_1005Metric,16.0,5.5,-135.0,top
C6,C,C_0402_1005Metric,15.9,10.4,-45.0,top
I5,smd_insert,insert_1.2mm,20.0,16.5,0.0,bottom
I6,smd_insert,insert_1.2mm,2.0,16.5,0.0,bottom
I7,smd_insert,insert_1.2mm,2.0,2.0,0.0,bottom
I8,smd_insert,insert_1.2mm,20.0,2.0,0.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical,15.0,15.45,0.0,top
J2,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical,7.25,15.57,0.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P1.27mm_Vertical,8.3,4.2,0.0,top
J4,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical,16.0,2.7,90.0,top
J5,Conn_01x01_Pin,Pin_D1.2mm_pogo,4.5,8.5,0.0,top
J6,Conn_01x01_Pin,Pin_D1.2mm_pogo,5.0,6.0,0.0,top
J7,Conn_01x01_Pin,Pin_D1.2mm_pogo,5.5,10.5,0.0,top
J8,Conn_01x01_Pin,Pin_D1.2mm_pogo,3.0,5.0,0.0,top
J9,Conn_01x01_Pin,Pin_D1.2mm_pogo,20.0,13.5,0.0,top
J9,Conn_01x01_Pin,Pin_D1.2mm_pogo,20.0,11.5,0.0,top
J10,Conn_01x01_Pin,Pin_D1.2mm_pogo,18.2,12.7,0.0,top
J11,Conn_01x01_Pin,Pin_D1.2mm_pogo,3.0,7.0,0.0,top
R1,R,R_0402_1005Metric,16.6,11.1,135.0,top
R2,150,R_0402_1005Metric,16.319624,8.688182,45.0,top
R3,R,R_0402_1005Metric,13.427557,11.438827,45.0,top
R4,R,R_0402_1005Metric,14.841771,12.145934,135.0,top
R5,R,R_0402_1005Metric,9.679891,9.812482,45.0,top
R6,R,R_0402_1005Metric,11.023394,11.155984,-135.0,top
R7,R,R_0402_1005Metric,15.2,9.7,-45.0,top
U1,STSPIN240,VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,12.8,7.6,315.0,top
