Comment,Designator,Footprint,LCSC
10K,R1,C_0201_0603Metric,C106225
ADS1293CISQE-NOPB,U1,ADS1293CISQE,C181260
4.096MHz,XTAL1,SMD3225-4P,C255991
22pF,"C1,C2",C_0201_0603Metric,C272881
10M,R2,C_0201_0603Metric,C320452
51,R4,C_0201_0603Metric,C320945
4.7uF,C7,C_0201_0603Metric,C335103
XF2J-1824-12A,"J1,J2",XF2J-1824-12A,C397324
HC32L110C6UA,U2,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,C493490
1nF,C4,C_0201_0603Metric,C526941
1uF,C6,C_0201_0603Metric,C53067
100nF,"C3,C5,C8",C_0201_0603Metric,C66938
WS2812-2020,LED1,WS2812-2020,C965555
