Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0201_0603Metric,18.94,8.87,180.0,top
C2,22pF,C_0201_0603Metric,17.17,5.02,0.0,top
C3,100nF,C_0201_0603Metric,11.58,8.71,-90.0,top
C4,1nF,C_0201_0603Metric,11.23,10.725,0.0,top
C5,100nF,C_0201_0603Metric,18.33,10.75,-90.0,top
C6,1uF,C_0201_0603Metric,18.94,9.63,0.0,top
C7,4.7uF,C_0201_0603Metric,10.44,8.75,90.0,top
C8,100nF,C_0201_0603Metric,17.17,5.78,180.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,11.0,3.0,0.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,11.0,15.5,180.0,top
LED1,WS2812-2020,WS2812-2020,2.6,12.6,90.0,top
R1,10K,C_0201_0603Metric,11.23,11.475,0.0,top
R2,10M,C_0201_0603Metric,11.23,9.975,0.0,top
R4,51,C_0201_0603Metric,15.04,5.63,180.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,14.95,9.0,-90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,7.99,8.18,90.0,top
XTAL1,4.096MHz,SMD3225-4P,19.43,6.68,90.0,top
