Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100nF,C_0402_1005Metric,42.630002,-20.53,-90.0,top
C3,100nF,C_0402_1005Metric,18.630001,-41.030001,-90.0,top
C3,100nF,C_0402_1005Metric,42.630002,-41.030001,-90.0,top
C3,100nF,C_0402_1005Metric,18.630001,-20.53,-90.0,top
C4,1nF,C_0402_1005Metric,18.180001,-18.06,0.0,top
C4,1nF,C_0402_1005Metric,42.180002,-18.06,0.0,top
C4,1nF,C_0402_1005Metric,42.180002,-38.560001,0.0,top
C4,1nF,C_0402_1005Metric,18.180001,-38.560001,0.0,top
C5,100nF,C_0402_1005Metric,25.300001,-17.92,-90.0,top
C5,100nF,C_0402_1005Metric,49.300002,-38.420001,-90.0,top
C5,100nF,C_0402_1005Metric,25.300001,-38.420001,-90.0,top
C5,100nF,C_0402_1005Metric,49.300002,-17.92,-90.0,top
C6,1uF,C_0402_1005Metric,25.800001,-19.35,0.0,top
C6,1uF,C_0402_1005Metric,49.800002,-19.35,0.0,top
C6,1uF,C_0402_1005Metric,49.800002,-39.850001,0.0,top
C6,1uF,C_0402_1005Metric,25.800001,-39.850001,0.0,top
C7,100nF,C_0402_1005Metric,24.110001,-23.32,180.0,top
C7,100nF,C_0402_1005Metric,48.110002,-43.820001,180.0,top
C7,100nF,C_0402_1005Metric,48.110002,-23.32,180.0,top
C7,100nF,C_0402_1005Metric,24.110001,-43.820001,180.0,top
C8,4.7uF,C_0402_1005Metric,17.650001,-20.52,90.0,top
C8,4.7uF,C_0402_1005Metric,41.650002,-41.020001,90.0,top
C8,4.7uF,C_0402_1005Metric,17.650001,-41.020001,90.0,top
C8,4.7uF,C_0402_1005Metric,41.650002,-20.52,90.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,42.000002,-46.500001,0.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,42.000002,-26.0,0.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,18.000001,-26.0,0.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,18.000001,-46.500001,0.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,18.000001,-13.5,180.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,18.000001,-34.000001,180.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,42.000002,-34.000001,180.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,42.000002,-13.5,180.0,top
R1,10K,C_0402_1005Metric,41.630002,-37.570001,0.0,top
R1,10K,C_0402_1005Metric,17.630001,-37.570001,0.0,top
R1,10K,C_0402_1005Metric,17.630001,-17.07,0.0,top
R1,10K,C_0402_1005Metric,41.630002,-17.07,0.0,top
R2,10M,C_0402_1005Metric,42.180002,-19.04,0.0,top
R2,10M,C_0402_1005Metric,18.180001,-39.540001,0.0,top
R2,10M,C_0402_1005Metric,42.180002,-39.540001,0.0,top
R2,10M,C_0402_1005Metric,18.180001,-19.04,0.0,top
R3,51,C_0402_1005Metric,46.200002,-23.32,180.0,top
R3,51,C_0402_1005Metric,22.200001,-23.32,180.0,top
R3,51,C_0402_1005Metric,22.200001,-43.820001,180.0,top
R3,51,C_0402_1005Metric,46.200002,-43.820001,180.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,21.950001,-40.500001,-90.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,45.950002,-40.500001,-90.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,45.950002,-20.0,-90.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,21.950001,-20.0,-90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,14.990001,-20.82,90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,38.990002,-41.320001,90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,38.990002,-20.82,90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,14.990001,-41.320001,90.0,top
XTAL1,4.096MHz,SMD3225-4P,50.505002,-22.63,90.0,top
XTAL1,4.096MHz,SMD3225-4P,26.505001,-43.130001,90.0,top
XTAL1,4.096MHz,SMD3225-4P,26.505001,-22.63,90.0,top
XTAL1,4.096MHz,SMD3225-4P,50.505002,-43.130001,90.0,top
