Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0201_0603Metric,25.940001,-57.630003,180.0,top
C1,22pF,C_0201_0603Metric,25.940001,-78.130004,180.0,top
C1,22pF,C_0201_0603Metric,25.940001,-37.130002,180.0,top
C1,22pF,C_0201_0603Metric,25.940001,-16.630001,180.0,top
C2,22pF,C_0201_0603Metric,24.170001,-20.480001,0.0,top
C2,22pF,C_0201_0603Metric,24.170001,-40.980002,0.0,top
C2,22pF,C_0201_0603Metric,24.170001,-81.980004,0.0,top
C2,22pF,C_0201_0603Metric,24.170001,-61.480003,0.0,top
C3,100nF,C_0201_0603Metric,18.580001,-37.290002,-90.0,top
C3,100nF,C_0201_0603Metric,18.580001,-57.790003,-90.0,top
C3,100nF,C_0201_0603Metric,18.580001,-78.290004,-90.0,top
C3,100nF,C_0201_0603Metric,18.580001,-16.790001,-90.0,top
C4,1nF,C_0201_0603Metric,18.230001,-35.275002,0.0,top
C4,1nF,C_0201_0603Metric,18.230001,-14.775001,0.0,top
C4,1nF,C_0201_0603Metric,18.230001,-76.275004,0.0,top
C4,1nF,C_0201_0603Metric,18.230001,-55.775003,0.0,top
C5,100nF,C_0201_0603Metric,25.330001,-55.750003,-90.0,top
C5,100nF,C_0201_0603Metric,25.330001,-14.750001,-90.0,top
C5,100nF,C_0201_0603Metric,25.330001,-35.250002,-90.0,top
C5,100nF,C_0201_0603Metric,25.330001,-76.250004,-90.0,top
C6,1uF,C_0201_0603Metric,25.940001,-77.370004,0.0,top
C6,1uF,C_0201_0603Metric,25.940001,-36.370002,0.0,top
C6,1uF,C_0201_0603Metric,25.940001,-56.870003,0.0,top
C6,1uF,C_0201_0603Metric,25.940001,-15.870001,0.0,top
C7,4.7uF,C_0201_0603Metric,17.440001,-16.750001,90.0,top
C7,4.7uF,C_0201_0603Metric,17.440001,-57.750003,90.0,top
C7,4.7uF,C_0201_0603Metric,17.440001,-37.250002,90.0,top
C7,4.7uF,C_0201_0603Metric,17.440001,-78.250004,90.0,top
C8,100nF,C_0201_0603Metric,24.170001,-60.720003,180.0,top
C8,100nF,C_0201_0603Metric,24.170001,-19.720001,180.0,top
C8,100nF,C_0201_0603Metric,24.170001,-81.220004,180.0,top
C8,100nF,C_0201_0603Metric,24.170001,-40.220002,180.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,18.000001,-43.000002,0.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,18.000001,-22.500001,0.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,18.000001,-63.500003,0.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,18.000001,-84.000004,0.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,18.000001,-51.000003,180.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,18.000001,-71.500004,180.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,18.000001,-10.000001,180.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,18.000001,-30.500002,180.0,top
LED1,WS2812-2020,WS2812-2020,9.600001,-53.900003,90.0,top
LED1,WS2812-2020,WS2812-2020,9.600001,-12.900001,90.0,top
LED1,WS2812-2020,WS2812-2020,9.600001,-33.400002,90.0,top
LED1,WS2812-2020,WS2812-2020,9.600001,-74.400004,90.0,top
R1,10K,C_0201_0603Metric,18.230001,-34.525002,0.0,top
R1,10K,C_0201_0603Metric,18.230001,-75.525004,0.0,top
R1,10K,C_0201_0603Metric,18.230001,-55.025003,0.0,top
R1,10K,C_0201_0603Metric,18.230001,-14.025001,0.0,top
R2,10M,C_0201_0603Metric,18.230001,-15.525001,0.0,top
R2,10M,C_0201_0603Metric,18.230001,-36.025002,0.0,top
R2,10M,C_0201_0603Metric,18.230001,-77.025004,0.0,top
R2,10M,C_0201_0603Metric,18.230001,-56.525003,0.0,top
R4,51,C_0201_0603Metric,22.040001,-19.870001,180.0,top
R4,51,C_0201_0603Metric,22.040001,-40.370002,180.0,top
R4,51,C_0201_0603Metric,22.040001,-60.870003,180.0,top
R4,51,C_0201_0603Metric,22.040001,-81.370004,180.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,21.950001,-37.000002,-90.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,21.950001,-57.500003,-90.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,21.950001,-78.000004,-90.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,21.950001,-16.500001,-90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,14.990001,-37.820002,90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,14.990001,-78.820004,90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,14.990001,-58.320003,90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,14.990001,-17.320001,90.0,top
XTAL1,4.096MHz,SMD3225-4P,26.430001,-59.820003,90.0,top
XTAL1,4.096MHz,SMD3225-4P,26.430001,-80.320004,90.0,top
XTAL1,4.096MHz,SMD3225-4P,26.430001,-39.320002,90.0,top
XTAL1,4.096MHz,SMD3225-4P,26.430001,-18.820001,90.0,top
