Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100nF,C_0402_1005Metric,11.63,8.47,-90.0,top
C4,1nF,C_0402_1005Metric,11.18,10.94,0.0,top
C5,100nF,C_0402_1005Metric,18.3,11.08,-90.0,top
C6,1uF,C_0402_1005Metric,18.8,9.65,0.0,top
C7,100nF,C_0402_1005Metric,17.11,5.68,180.0,top
C8,4.7uF,C_0402_1005Metric,10.65,8.48,90.0,top
J1,XF2J-1824-12A,XF2J-1824-12A,11.0,3.0,0.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,11.0,15.5,180.0,top
LED1,WS2812-2020,WS2812-2020,2.6,12.6,90.0,top
R1,10K,C_0402_1005Metric,10.63,11.93,0.0,top
R2,10M,C_0402_1005Metric,11.18,9.96,0.0,top
R3,51,C_0402_1005Metric,15.2,5.68,180.0,top
U1,ADS1293CISQE-NOPB,ADS1293CISQE,14.95,9.0,-90.0,top
U2,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,7.99,8.18,90.0,top
XTAL1,4.096MHz,SMD3225-4P,19.505,6.37,90.0,top
