Comment,Designator,Footprint,LCSC
smd_insert,I8,insert_1.2mm,
smd_insert,I7,insert_1.2mm,
smd_insert,I6,insert_1.2mm,
smd_insert,I5,insert_1.2mm,
Conn_01x01_Pin,J9,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J11,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J10,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J8,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J7,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J6,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J5,Pin_D1.2mm_pogo,
Conn_01x02_Pin,J4,PinHeader_1x02_P1.27mm_Vertical,
Conn_01x04_Pin,J3,PinHeader_1x04_P1.27mm_Vertical,
Conn_01x02_Pin,J2,PinHeader_1x02_P1.27mm_Vertical,
Conn_01x02_Pin,J1,PinHeader_1x02_P1.27mm_Vertical,
STSPIN240,U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,
R,R7,R_0402_1005Metric,
R,R6,R_0402_1005Metric,
R,R5,R_0402_1005Metric,
R,R4,R_0402_1005Metric,
R,R3,R_0402_1005Metric,
150,R2,R_0402_1005Metric,
R,R1,R_0402_1005Metric,
SolderJumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
C,C6,C_0402_1005Metric,
C,C5,C_0402_1005Metric,
C,C4,C_0402_1005Metric,
C,C3,C_0402_1005Metric,
C,C2,C_0402_1005Metric,
C,C1,C_0402_1005Metric,
TP_AUX2,TP12,TestPoint_Pad_D1.0mm,
TP_SDA,TP10,TestPoint_Pad_D1.0mm,
smd_insert,I4,insert_1.2mm,
smd_insert,I2,insert_1.2mm,
smd_insert,I3,insert_1.2mm,
smd_insert,I1,insert_1.2mm,
