### Footprint positions - created on 2024-03-31T14:20:17+0100 ###
### Printed by KiCad version 8.0.1-8.0.1-1~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val              Package                                    PosX       PosY       Rot  Side
FPC1      FPC-05F-18PH20   FPC-SMD_18P-P0.50_FPC-05F-18PH20         1.1738    -0.9400    0.0000  bottom
LED1      WS2812C-2020-V1  LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020     1.4100    -1.1821   90.0000  bottom
LED2      WS2812C          LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020     0.9376    -1.1821  -90.0000  bottom
R1        10K              R_0402_1005Metric                        0.9415    -1.2608    0.0000  bottom
SW1       TS-1088R-02026   SW-SMD_L3.9-W3.0-P4.45                   1.0242    -1.3553  180.0000  bottom
C1        4.7uF            C_0402_1005Metric                        1.3061    -1.1108  180.0000  top
FPC2      FPC-05F-18PH20   FPC-SMD_18P-P0.50_FPC-05F-18PH20         1.1738    -0.9400  180.0000  top
U1        HC32L110C6UA     QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm      1.3341    -1.2100  -90.0000  top
U2        74HC688          TSSOP-20_W4.4mm                          1.0360    -1.2707  -90.0000  top
## End
