Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0402_1005Metric,38.499999,-27.1,90.0,top
C10,C,C_0402_1005Metric,19.499999,-27.1,90.0,top
C11,C,C_0402_1005Metric,20.499999,-27.1,90.0,top
C12,C,C_0402_1005Metric,21.499999,-27.1,90.0,top
C2,C,C_0402_1005Metric,39.499999,-27.1,90.0,top
C3,C,C_0402_1005Metric,40.499999,-27.1025,90.0,top
C4,C,C_0402_1005Metric,41.499999,-27.1025,90.0,top
C5,C,C_0402_1005Metric,42.499999,-27.1,90.0,top
C6,C,C_0402_1005Metric,43.499999,-27.1,90.0,top
C7,C,C_0402_1005Metric,16.499999,-27.1,90.0,top
C8,C,C_0402_1005Metric,17.499999,-27.1,90.0,top
C9,C,C_0402_1005Metric,18.499999,-27.1,90.0,top
I3,smd_insert,insert_1.2mm,16.899999,-36.6,0.0,top
I4,smd_insert,insert_1.2mm,43.099999,-36.6,0.0,top
J17,Conn_01x01_Pin,Pin_D1.2mm_pogo,32.539999,-32.0,0.0,top
J18,Conn_01x01_Pin,Pin_D1.2mm_pogo,37.619999,-32.0,0.0,top
J19,Conn_01x01_Pin,Pin_D1.2mm_pogo,42.699999,-32.0,0.0,top
J20,Conn_01x01_Pin,Pin_D1.2mm_pogo,17.299999,-32.0,0.0,top
J21,Conn_01x01_Pin,Pin_D1.2mm_pogo,22.379999,-32.0,0.0,top
J22,Conn_01x01_Pin,Pin_D1.2mm_pogo,27.459999,-32.0,0.0,top
R1,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,38.499999,-29.2,90.0,top
R10,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,19.499999,-29.2,90.0,top
R11,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,20.499999,-29.2,90.0,top
R12,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,21.499999,-29.2,90.0,top
R2,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,39.499999,-29.2,90.0,top
R3,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,40.499999,-29.2025,90.0,top
R4,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,41.499999,-29.2025,90.0,top
R5,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,42.499999,-29.2,90.0,top
R6,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,43.499999,-29.2,90.0,top
R7,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,16.499999,-29.2,90.0,top
R8,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,17.499999,-29.2,90.0,top
R9,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,18.499999,-29.2,90.0,top
