"Reference","Value","Footprint","DNP","LCSC"
"C1","4.7uF","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J9","Conn_01x01_Pin","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"J10","Conn_01x01_Pin","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"J15","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J16","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J17","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J18","Conn_01x01_Pin","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"J19","Conn_01x01_Pin","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"J24","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"Q1","AO4882_C3040598","00_lcsc:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","","C3040598"
"Q2","AO4882_C3040598","00_lcsc:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","","C3040598"
"R1","1k","Resistor_SMD:R_0402_1005Metric","",""
"R2","10K","Resistor_SMD:R_0402_1005Metric","",""
"R3","1k","Resistor_SMD:R_0402_1005Metric","",""
"R4","2k","Resistor_SMD:R_0402_1005Metric","",""
"R5","2k","Resistor_SMD:R_0402_1005Metric","",""
"R6","1k","Resistor_SMD:R_0402_1005Metric","",""
"R7","1k","Resistor_SMD:R_0402_1005Metric","",""
"R8","2k","Resistor_SMD:R_0402_1005Metric","",""
"R9","2k","Resistor_SMD:R_0402_1005Metric","",""
"SW1","TS-1088R-02026","00_lcsc:SW-SMD_L3.9-W3.0-P4.45","","C455280"
"U1","DS12W-MS","00_lcsc:SOD-123FL_L2.7-W1.8-LS3.8-RD","","C5120757"
"U2","DS12W-MS","00_lcsc:SOD-123FL_L2.7-W1.8-LS3.8-RD","","C5120757"
"U3","DS12W-MS","00_lcsc:SOD-123FL_L2.7-W1.8-LS3.8-RD","","C5120757"
"U4","HC32L110C6UA-SFN20TR","00_lcsc:WQFN-20_L3.0-W3.0-P0.40-BL-EP","","C493490"
"U5","DS12W-MS","00_lcsc:SOD-123FL_L2.7-W1.8-LS3.8-RD","","C5120757"
