### Footprint positions - created on 2024-03-31T14:21:00+0100 ###
### Printed by KiCad version 8.0.1-8.0.1-1~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                      Package                               PosX       PosY       Rot  Side
C7        2.2uF_-_16V_ceramic_X7R  C_0603_1608Metric                   1.1850    -1.3346  -90.0000  bottom
L1        FNR5040S330MT            IND-SMD_L5.0-W5.0_FNR50XXS          1.3465    -1.3110    0.0000  bottom
L2        FNR5040S330MT            IND-SMD_L5.0-W5.0_FNR50XXS          1.0276    -1.3780  180.0000  bottom
R1        0.33                     R_1206_3216Metric                   1.0315    -1.5236    0.0000  bottom
C3        2.2uF                    C_0402_1005Metric                   1.1457    -1.4409   90.0000  top
C4        22uF                     C_0402_1005Metric                   1.1850    -1.4409   90.0000  top
C5        22nF                     C_0402_1005Metric                   0.9528    -1.3303  -90.0000  top
C6        10nF                     C_0402_1005Metric                   0.9213    -1.4484  -90.0000  top
J1        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.0061    -1.1811    0.0000  top
J2        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.0561    -1.1811    0.0000  top
J3        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.1061    -1.1811    0.0000  top
J4        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.1561    -1.1811    0.0000  top
J5        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.2061    -1.1811    0.0000  top
J6        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.2561    -1.1811    0.0000  top
J7        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.3061    -1.1811  180.0000  top
J8        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.3561    -1.1811    0.0000  top
J9        Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.4400    -1.4370  180.0000  top
J10       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.3900    -1.4370  180.0000  top
J11       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.3400    -1.4370  180.0000  top
J12       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.2900    -1.4370    0.0000  top
J13       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.3400    -1.4870    0.0000  top
J14       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.3900    -1.4870    0.0000  top
J15       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.4400    -1.4870    0.0000  top
J16       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.2400    -1.4870    0.0000  top
J17       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.2900    -1.4870    0.0000  top
J18       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.2400    -1.4370    0.0000  top
J19       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.0811    -1.2441    0.0000  top
J20       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.0311    -1.2441    0.0000  top
J21       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.1311    -1.2441    0.0000  top
J22       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     1.1811    -1.2441    0.0000  top
J23       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     0.9811    -1.2441    0.0000  top
J24       Conn_01x01_Pin           PinHeader_1x01_P1.27mm_Vertical     0.9311    -1.2441    0.0000  top
R2        0.33                     R_1206_3216Metric                   1.1846    -1.3344    0.0000  top
R3        1k                       R_0402_1005Metric                   0.9921    -1.3303   90.0000  top
R4        47k                      R_0402_1005Metric                   0.9449    -1.3894  180.0000  top
R5        18k                      R_0402_1005Metric                   0.9606    -1.4484  -90.0000  top
R6        1k                       R_0402_1005Metric                   1.0315    -1.3303  -90.0000  top
R7        1k                       R_0402_1005Metric                   1.0709    -1.3303   90.0000  top
U3        STSPIN240                QFN-16_L3.0-W3.0-P0.50-BL-EP1.7     1.0587    -1.4425    0.0000  top
## End
