"Reference","Value","Footprint","DNP","LCSC"
"C1","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C3","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C6","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C7","1.5nF","Capacitor_SMD:C_0402_1005Metric","",""
"C8","10uF","Capacitor_SMD:C_0402_1005Metric","",""
"C9","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C10","1nF","Capacitor_SMD:C_0402_1005Metric","",""
"C11","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C12","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C13","10uF","Capacitor_SMD:C_0402_1005Metric","",""
"C14","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C15","22uF","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J9","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J10","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J11","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J12","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J13","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J14","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J15","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J16","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J17","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J18","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J19","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J20","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J21","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J22","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J23","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J24","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J25","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J26","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"R1","1M","Capacitor_SMD:C_0402_1005Metric","",""
"R2","10K","Capacitor_SMD:C_0402_1005Metric","",""
"SW1","TS-1088R-02026","00_lcsc:SW-SMD_L3.9-W3.0-P4.45","","C455280"
"U1","AP2112K-3.3TRG1","00_custom-footprints:SOT95P285X140-5N","",""
"U2","ADS1298CZXGT","00_lcsc:NFBGA-64_L8.0-W8.0-R8-C8-P0.80-TL","","C882732"
