### Footprint positions - created on 2024-04-01T11:26:29+0100 ###
### Printed by KiCad version 8.0.1-8.0.1-1~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val              Package                                 PosX       PosY       Rot  Side
C4        100pF            C_0402_1005Metric                     1.0906    -1.4055   90.0000  bottom
C5        100pF            C_0402_1005Metric                     1.1339    -1.4055  -90.0000  bottom
C6        1uF              C_0402_1005Metric                     0.9366    -1.1780   90.0000  bottom
C7        1uF              C_0402_1005Metric                     0.9488    -1.3701  180.0000  bottom
C8        1uF              C_0402_1005Metric                     1.0354    -1.3819    0.0000  bottom
C9        100nF            C_0402_1005Metric                     0.9488    -1.4134    0.0000  bottom
C11       1uF              C_0402_1005Metric                     0.9803    -1.1969   90.0000  bottom
C12       100nF            C_0402_1005Metric                     1.3228    -1.3150    0.0000  bottom
C13       1uF              C_0402_1005Metric                     1.4173    -1.3583    0.0000  bottom
C14       100n             C_0402_1005Metric                     1.4173    -1.3189  180.0000  bottom
C15       1u               C_0402_1005Metric                     1.4173    -1.2795  180.0000  bottom
R1        2k               R_0402_1005Metric                     1.2047    -1.2717    0.0000  bottom
R2        10k              R_0402_1005Metric                     1.3228    -1.2756    0.0000  bottom
R6        10k              R_0402_1005Metric                     0.9764    -1.3114  -90.0000  bottom
R7        10k              R_0402_1005Metric                     0.9370    -1.3106   90.0000  bottom
R8        100k             R_0402_1005Metric                     0.9606    -1.2520  180.0000  bottom
R11       100k             R_0402_1005Metric                     1.4173    -1.3976    0.0000  bottom
R13       0                R_0402_1005Metric                     1.1929    -1.3622  180.0000  bottom
U2        OPA333           SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR     1.0866    -1.2992    0.0000  bottom
C1        10uF             C_0402_1005Metric                     1.1142    -1.2283  180.0000  top
C2        100nF            C_0402_1005Metric                     1.1299    -1.1693  -90.0000  top
C3        10nF             C_0402_1005Metric                     1.1890    -1.3583    0.0000  top
C10       1uF              C_0402_1005Metric                     0.9409    -1.2559    0.0000  top
J1        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.0061    -1.0630    0.0000  top
J2        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.0561    -1.0630    0.0000  top
J3        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.1061    -1.0630    0.0000  top
J4        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.1561    -1.0630    0.0000  top
J5        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.2061    -1.0630    0.0000  top
J6        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.2561    -1.0630    0.0000  top
J7        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.3061    -1.0630  180.0000  top
J8        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.3561    -1.0630    0.0000  top
J11       Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.2061    -1.4567    0.0000  top
J12       Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.2992    -1.3583    0.0000  top
R3        330              R_0402_1005Metric                     1.0866    -1.1417  -90.0000  top
R4        4k               R_0402_1005Metric                     0.9449    -1.4173  180.0000  top
R5        4k               R_0402_1005Metric                     1.2402    -1.4047  180.0000  top
R9        1M               R_0402_1005Metric                     1.1732    -1.2677    0.0000  top
R10       1k               R_0402_1005Metric                     1.2598    -1.2953    0.0000  top
R12       1k               R_0402_1005Metric                     1.4291    -1.2874  180.0000  top
R14       0                R_0402_1005Metric                     1.4252    -1.0630    0.0000  top
U1        INA331IDGKR      VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL      1.0315    -1.3465  -90.0000  top
U3        AP2112K-3.3TRG1  SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL     0.9843    -1.1591  -90.0000  top
U4        OPA333           SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR     1.3898    -1.3622    0.0000  top
U5        CJ432            SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR     1.2205    -1.1890   90.0000  top
U6        LIS3DHTR         LGA-16_L3.0-W3.0-P0.50-TL             1.3672    -1.1927  180.0000  top
## End
