Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0402_1005Metric,94.5,-40.6,90.0,top
C1,C,C_0402_1005Metric,30.5,-29.6,90.0,top
C1,C,C_0402_1005Metric,62.5,-29.6,90.0,top
C1,C,C_0402_1005Metric,62.5,-40.6,90.0,top
C1,C,C_0402_1005Metric,94.5,-29.6,90.0,top
C1,C,C_0402_1005Metric,94.5,-84.6,90.0,top
C1,C,C_0402_1005Metric,62.5,-7.6,90.0,top
C1,C,C_0402_1005Metric,30.5,-40.6,90.0,top
C1,C,C_0402_1005Metric,62.5,-62.6,90.0,top
C1,C,C_0402_1005Metric,30.5,-84.6,90.0,top
C1,C,C_0402_1005Metric,94.5,-51.6,90.0,top
C1,C,C_0402_1005Metric,30.5,-51.6,90.0,top
C1,C,C_0402_1005Metric,62.5,-73.6,90.0,top
C1,C,C_0402_1005Metric,30.5,-7.6,90.0,top
C1,C,C_0402_1005Metric,30.5,-18.6,90.0,top
C1,C,C_0402_1005Metric,94.5,-18.6,90.0,top
C1,C,C_0402_1005Metric,94.5,-62.6,90.0,top
C1,C,C_0402_1005Metric,62.5,-18.6,90.0,top
C1,C,C_0402_1005Metric,62.5,-84.6,90.0,top
C1,C,C_0402_1005Metric,94.5,-73.6,90.0,top
C1,C,C_0402_1005Metric,30.5,-73.6,90.0,top
C1,C,C_0402_1005Metric,30.5,-62.6,90.0,top
C1,C,C_0402_1005Metric,62.5,-51.6,90.0,top
C1,C,C_0402_1005Metric,94.5,-7.6,90.0,top
C10,C,C_0402_1005Metric,74.5,-40.6,90.0,top
C10,C,C_0402_1005Metric,42.5,-7.6,90.0,top
C10,C,C_0402_1005Metric,74.5,-18.6,90.0,top
C10,C,C_0402_1005Metric,42.5,-18.6,90.0,top
C10,C,C_0402_1005Metric,10.5,-84.6,90.0,top
C10,C,C_0402_1005Metric,42.5,-29.6,90.0,top
C10,C,C_0402_1005Metric,10.5,-51.6,90.0,top
C10,C,C_0402_1005Metric,10.5,-18.6,90.0,top
C10,C,C_0402_1005Metric,42.5,-84.6,90.0,top
C10,C,C_0402_1005Metric,10.5,-7.6,90.0,top
C10,C,C_0402_1005Metric,42.5,-62.6,90.0,top
C10,C,C_0402_1005Metric,10.5,-40.6,90.0,top
C10,C,C_0402_1005Metric,42.5,-40.6,90.0,top
C10,C,C_0402_1005Metric,42.5,-51.6,90.0,top
C10,C,C_0402_1005Metric,74.5,-84.6,90.0,top
C10,C,C_0402_1005Metric,42.5,-73.6,90.0,top
C10,C,C_0402_1005Metric,10.5,-29.6,90.0,top
C10,C,C_0402_1005Metric,74.5,-73.6,90.0,top
C10,C,C_0402_1005Metric,10.5,-73.6,90.0,top
C10,C,C_0402_1005Metric,74.5,-29.6,90.0,top
C10,C,C_0402_1005Metric,74.5,-62.6,90.0,top
C10,C,C_0402_1005Metric,10.5,-62.6,90.0,top
C10,C,C_0402_1005Metric,74.5,-51.6,90.0,top
C10,C,C_0402_1005Metric,74.5,-7.6,90.0,top
C11,C,C_0402_1005Metric,75.5,-62.6,90.0,top
C11,C,C_0402_1005Metric,43.5,-84.6,90.0,top
C11,C,C_0402_1005Metric,75.5,-51.6,90.0,top
C11,C,C_0402_1005Metric,75.5,-73.6,90.0,top
C11,C,C_0402_1005Metric,43.5,-62.6,90.0,top
C11,C,C_0402_1005Metric,43.5,-29.6,90.0,top
C11,C,C_0402_1005Metric,43.5,-7.6,90.0,top
C11,C,C_0402_1005Metric,11.5,-62.6,90.0,top
C11,C,C_0402_1005Metric,11.5,-7.6,90.0,top
C11,C,C_0402_1005Metric,11.5,-73.6,90.0,top
C11,C,C_0402_1005Metric,43.5,-40.6,90.0,top
C11,C,C_0402_1005Metric,11.5,-18.6,90.0,top
C11,C,C_0402_1005Metric,43.5,-73.6,90.0,top
C11,C,C_0402_1005Metric,11.5,-51.6,90.0,top
C11,C,C_0402_1005Metric,43.5,-51.6,90.0,top
C11,C,C_0402_1005Metric,75.5,-29.6,90.0,top
C11,C,C_0402_1005Metric,11.5,-29.6,90.0,top
C11,C,C_0402_1005Metric,75.5,-84.6,90.0,top
C11,C,C_0402_1005Metric,75.5,-18.6,90.0,top
C11,C,C_0402_1005Metric,11.5,-84.6,90.0,top
C11,C,C_0402_1005Metric,75.5,-40.6,90.0,top
C11,C,C_0402_1005Metric,11.5,-40.6,90.0,top
C11,C,C_0402_1005Metric,43.5,-18.6,90.0,top
C11,C,C_0402_1005Metric,75.5,-7.6,90.0,top
C12,C,C_0402_1005Metric,76.5,-84.6,90.0,top
C12,C,C_0402_1005Metric,44.5,-7.6,90.0,top
C12,C,C_0402_1005Metric,12.5,-62.6,90.0,top
C12,C,C_0402_1005Metric,76.5,-18.6,90.0,top
C12,C,C_0402_1005Metric,12.5,-7.6,90.0,top
C12,C,C_0402_1005Metric,76.5,-51.6,90.0,top
C12,C,C_0402_1005Metric,12.5,-29.6,90.0,top
C12,C,C_0402_1005Metric,76.5,-7.6,90.0,top
C12,C,C_0402_1005Metric,44.5,-51.6,90.0,top
C12,C,C_0402_1005Metric,76.5,-73.6,90.0,top
