"Reference","Value","Footprint","DNP","LCSC"
"J1","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J2","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J3","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J4","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J5","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J6","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J7","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J8","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J9","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J10","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J11","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J12","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J13","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J14","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J15","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J16","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J17","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J18","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J19","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J20","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J21","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J22","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J23","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J24","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J25","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J26","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J27","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J28","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J29","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J30","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J31","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J32","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"TP1","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP2","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP3","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP4","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP5","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP6","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP7","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP8","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP9","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP10","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP11","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP12","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP13","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP14","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP15","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP16","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
