Comment,Designator,Footprint,LCSC
10M,R2,C_0402_1005Metric,C102764
1nF,C6,C_0402_1005Metric,C1523
100nF,"C1,C5,C7",C_0402_1005Metric,C1525
22pF,"C3,C4",C_0402_1005Metric,C1555
ADS1293CISQE-NOPB,U1,ADS1293CISQE,C181260
10K,R1,C_0402_1005Metric,C25744
AP2112K-3.3TRG1,U2,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118
1uF,"C2,C8,C9",C_0402_1005Metric,C52923
Crystal,Y1,Crystal_SMD_HC49-SD,C74858
Conn_01x01_Pin,J1,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J9,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J7,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J10,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J14,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J12,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J11,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J13,PinHeader_1x01_P1.27mm_Vertical,
SolderJumper_2_Bridged,JP2,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,
NPTH,KiKit_MB_1_5,NPTH,
NPTH,KiKit_MB_4_4,NPTH,
NPTH,KiKit_MB_13_2,NPTH,
NPTH,KiKit_MB_7_5,NPTH,
NPTH,KiKit_MB_4_7,NPTH,
NPTH,KiKit_MB_10_4,NPTH,
NPTH,KiKit_MB_13_5,NPTH,
NPTH,KiKit_MB_6_4,NPTH,
NPTH,KiKit_MB_14_1,NPTH,
NPTH,KiKit_MB_1_7,NPTH,
NPTH,KiKit_MB_4_1,NPTH,
NPTH,KiKit_MB_13_4,NPTH,
NPTH,KiKit_MB_9_3,NPTH,
NPTH,KiKit_MB_9_2,NPTH,
NPTH,KiKit_MB_13_1,NPTH,
NPTH,KiKit_MB_12_6,NPTH,
NPTH,KiKit_MB_3_3,NPTH,
NPTH,KiKit_MB_8_3,NPTH,
NPTH,KiKit_TO_3,NPTH,
NPTH,KiKit_MB_9_6,NPTH,
NPTH,KiKit_MB_1_4,NPTH,
NPTH,KiKit_MB_16_2,NPTH,
NPTH,KiKit_MB_1_6,NPTH,
NPTH,KiKit_MB_8_6,NPTH,
NPTH,KiKit_MB_15_5,NPTH,
NPTH,KiKit_MB_12_1,NPTH,
NPTH,KiKit_MB_7_7,NPTH,
NPTH,KiKit_MB_16_6,NPTH,
NPTH,KiKit_MB_4_2,NPTH,
NPTH,KiKit_MB_11_5,NPTH,
NPTH,KiKit_MB_11_2,NPTH,
NPTH,KiKit_MB_14_3,NPTH,
NPTH,KiKit_MB_8_7,NPTH,
