Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,28.2,-78.95,90.0,top
C1,100nF,C_0402_1005Metric,83.2,-52.95,90.0,top
C1,100nF,C_0402_1005Metric,45.2,-52.95,90.0,top
C1,100nF,C_0402_1005Metric,83.2,-65.95,90.0,top
C1,100nF,C_0402_1005Metric,66.2,-91.95,90.0,top
C1,100nF,C_0402_1005Metric,45.2,-91.95,90.0,top
C1,100nF,C_0402_1005Metric,28.2,-26.95,90.0,top
C1,100nF,C_0402_1005Metric,66.2,-13.95,90.0,top
C1,100nF,C_0402_1005Metric,45.2,-26.95,90.0,top
C1,100nF,C_0402_1005Metric,66.2,-26.95,90.0,top
C1,100nF,C_0402_1005Metric,45.2,-65.95,90.0,top
C1,100nF,C_0402_1005Metric,83.2,-78.95,90.0,top
C1,100nF,C_0402_1005Metric,11.2,-13.95,90.0,top
C1,100nF,C_0402_1005Metric,45.2,-78.95,90.0,top
C1,100nF,C_0402_1005Metric,11.2,-39.95,90.0,top
C1,100nF,C_0402_1005Metric,11.2,-91.95,90.0,top
C1,100nF,C_0402_1005Metric,83.2,-26.95,90.0,top
C1,100nF,C_0402_1005Metric,28.2,-91.95,90.0,top
C1,100nF,C_0402_1005Metric,45.2,-13.95,90.0,top
C1,100nF,C_0402_1005Metric,11.2,-65.95,90.0,top
C1,100nF,C_0402_1005Metric,66.2,-39.95,90.0,top
C1,100nF,C_0402_1005Metric,11.2,-52.95,90.0,top
C1,100nF,C_0402_1005Metric,83.2,-39.95,90.0,top
C1,100nF,C_0402_1005Metric,11.2,-26.95,90.0,top
C1,100nF,C_0402_1005Metric,83.2,-13.95,90.0,top
C1,100nF,C_0402_1005Metric,66.2,-65.95,90.0,top
C1,100nF,C_0402_1005Metric,28.2,-65.95,90.0,top
C1,100nF,C_0402_1005Metric,28.2,-52.95,90.0,top
C1,100nF,C_0402_1005Metric,28.2,-13.95,90.0,top
C1,100nF,C_0402_1005Metric,45.2,-39.95,90.0,top
C1,100nF,C_0402_1005Metric,66.2,-78.95,90.0,top
C1,100nF,C_0402_1005Metric,66.2,-52.95,90.0,top
C1,100nF,C_0402_1005Metric,11.2,-78.95,90.0,top
C1,100nF,C_0402_1005Metric,83.2,-91.95,90.0,top
C1,100nF,C_0402_1005Metric,28.2,-39.95,90.0,top
