Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,95.02,-91.45,0.0,bottom
C2,1uF,C_0402_1005Metric,94.4,-91.5,0.0,top
C3,1uF,C_0402_1005Metric,99.55,-91.8,180.0,bottom
C4,100nF,C_0402_1005Metric,99.55,-92.8,180.0,bottom
C5,1uF,C_0402_1005Metric,99.7,-94.3,270.0,bottom
C6,100nF,C_0402_1005Metric,100.7,-94.3,270.0,bottom
C7,1.5nF,C_0402_1005Metric,97.85,-97.65,180.0,bottom
C8,10uF,C_0402_1005Metric,97.788213,-93.915168,0.0,bottom
C9,100nF,C_0402_1005Metric,97.788213,-94.915168,0.0,bottom
C10,1nF,C_0402_1005Metric,100.6,-97.3,180.0,bottom
C11,1uF,C_0402_1005Metric,101.9,-94.4,90.0,bottom
C12,1uF,C_0402_1005Metric,102.4,-92.6,0.0,bottom
C13,10uF,C_0402_1005Metric,102.5,-96.25,0.0,bottom
C14,100nF,C_0402_1005Metric,102.5,-97.35,0.0,bottom
C15,22uF,C_0402_1005Metric,103.0,-94.4,270.0,bottom
J1,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,95.555,-90.0,0.0,top
J2,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,96.825,-90.0,0.0,top
J3,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,98.095,-90.0,0.0,top
J4,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,99.365,-90.0,0.0,top
J5,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,100.635,-90.0,0.0,top
J6,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,101.905,-90.0,0.0,top
J7,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,103.175,-90.0,180.0,top
J8,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,104.445,-90.0,0.0,top
J25,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,94.2,-98.0,0.0,top
J26,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,94.2,-96.73,0.0,top
R1,1M,C_0402_1005Metric,97.85,-96.45,0.0,bottom
R2,10K,C_0402_1005Metric,105.55,-91.8,180.0,top
SW1,TS-1088R-02026,SW-SMD_L3.9-W3.0-P4.45,106.0,-95.25,-90.0,top
U1,AP2112K-3.3TRG1,SOT95P285X140-5N,94.47,-94.165,270.0,bottom
U2,ADS1298CZXGT,NFBGA-64_L8.0-W8.0-R8-C8-P0.80-TL,100.0,-94.75,90.0,top
