Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,-1.7,-4.2,180.0,top
C2,100nF,C_0402_1005Metric,-1.3,-2.7,-90.0,top
C3,10nF,C_0402_1005Metric,-2.0,-7.6,0.0,top
C4,100pF,C_0402_1005Metric,-2.3,-8.7,90.0,bottom
C5,100pF,C_0402_1005Metric,-1.2,-8.7,270.0,bottom
C6,1uF,C_0402_1005Metric,-6.21,-2.92,90.0,bottom
C7,1uF,C_0402_1005Metric,-5.7,-8.0,0.0,bottom
C8,1uF,C_0402_1005Metric,-2.4,-6.5,180.0,top
C9,100nF,C_0402_1005Metric,-5.7,-9.1,180.0,bottom
C10,1uF,C_0402_1005Metric,-4.2,-4.8,0.0,top
C11,1uF,C_0402_1005Metric,-5.1,-3.4,90.0,bottom
C12,100nF,C_0402_1005Metric,3.6,-6.4,180.0,bottom
C13,1uF,C_0402_1005Metric,6.0,-7.5,180.0,bottom
C14,100n,C_0402_1005Metric,6.0,-6.5,0.0,bottom
C15,1u,C_0402_1005Metric,6.0,-5.5,0.0,bottom
J1,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-4.445,-0.0,0.0,top
J2,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-3.175,-0.0,0.0,top
J3,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-1.905,-0.0,0.0,top
J4,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-0.635,-0.0,0.0,top
J5,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,0.635,-0.0,0.0,top
J6,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,1.905,-0.0,0.0,top
J7,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,3.175,-0.0,180.0,top
J8,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,4.445,-0.0,0.0,top
R1,2k,R_0402_1005Metric,0.6,-5.3,180.0,bottom
R2,10k,R_0402_1005Metric,3.6,-5.4,180.0,bottom
R3,330,R_0402_1005Metric,-2.4,-2.0,-90.0,top
R4,4k,R_0402_1005Metric,-2.0,-8.6,180.0,top
R5,4k,R_0402_1005Metric,0.0,-8.4,180.0,top
R6,10k,R_0402_1005Metric,-5.2,-6.31,270.0,bottom
R7,10k,R_0402_1005Metric,-6.2,-6.29,90.0,bottom
R8,100k,R_0402_1005Metric,-3.9,-6.5,90.0,top
R9,1M,R_0402_1005Metric,-1.9,-5.2,0.0,top
R10,1k,R_0402_1005Metric,0.4,-6.4,0.0,top
R11,100k,R_0402_1005Metric,6.0,-8.5,180.0,bottom
R12,1k,R_0402_1005Metric,5.8,-7.9,90.0,top
U1,INA350ABSIDSGR,WSON-8_L2.0-W2.0-P0.50-TL-EP,-5.65,-6.95,90.0,top
U2,OPA333,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,-2.4,-6.3,180.0,bottom
U3,AP2112K-3.3TRG1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,-5.0,-2.4402,-90.0,top
U4,OPA333,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,3.5,-7.4,0.0,top
U5,CJ432,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,0.7,-3.9,90.0,top
U6,LIS3DHTR,LGA-16_L3.0-W3.0-P0.50-TL,4.7275,-3.295,180.0,top
