"Reference","Value","Footprint","DNP","LCSC"
"C1","10uF","Capacitor_SMD:C_0402_1005Metric","",""
"C2","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C3","10nF","Capacitor_SMD:C_0402_1005Metric","",""
"C4","100pF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","100pF","Capacitor_SMD:C_0402_1005Metric","",""
"C6","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C7","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C8","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C9","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C10","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C11","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C12","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C13","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C14","100n","Capacitor_SMD:C_0402_1005Metric","",""
"C15","1u","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"R1","2k","Resistor_SMD:R_0402_1005Metric","",""
"R2","10k","Resistor_SMD:R_0402_1005Metric","",""
"R3","330","Resistor_SMD:R_0402_1005Metric","",""
"R4","4k","Resistor_SMD:R_0402_1005Metric","",""
"R5","4k","Resistor_SMD:R_0402_1005Metric","",""
"R6","10k","Resistor_SMD:R_0402_1005Metric","",""
"R7","10k","Resistor_SMD:R_0402_1005Metric","",""
"R8","100k","Resistor_SMD:R_0402_1005Metric","",""
"R9","1M","Resistor_SMD:R_0402_1005Metric","",""
"R10","1k","Resistor_SMD:R_0402_1005Metric","",""
"R11","100k","Resistor_SMD:R_0402_1005Metric","",""
"R12","1k","Resistor_SMD:R_0402_1005Metric","",""
"TP1","TestPoint","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"TP2","TestPoint","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"TP3","TestPoint","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"U1","INA350ABSIDSGR","00_lcsc:WSON-8_L2.0-W2.0-P0.50-TL-EP","","C4370677"
"U2","OPA333","00_lcsc:SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","","C3007938"
"U3","AP2112K-3.3TRG1","00_lcsc:SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL","","C51118"
"U4","OPA333","00_lcsc:SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","","C3007938"
"U5","CJ432","00_lcsc:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","C2910208"
"U6","LIS3DHTR","00_lcsc:LGA-16_L3.0-W3.0-P0.50-TL","","C15134"
