### Footprint positions - created on 2024-03-31T14:20:40+0100 ###
### Printed by KiCad version 8.0.1-8.0.1-1~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val              Package                                 PosX       PosY       Rot  Side
C4        100pF            C_0402_1005Metric                     1.0906    -1.4055   90.0000  bottom
C5        100pF            C_0402_1005Metric                     1.1339    -1.4055  -90.0000  bottom
C6        1uF              C_0402_1005Metric                     0.9366    -1.1780   90.0000  bottom
C7        1uF              C_0402_1005Metric                     0.9567    -1.3780  180.0000  bottom
C9        100nF            C_0402_1005Metric                     0.9567    -1.4213    0.0000  bottom
C11       1uF              C_0402_1005Metric                     0.9803    -1.1969   90.0000  bottom
C12       100nF            C_0402_1005Metric                     1.3228    -1.3150    0.0000  bottom
C13       1uF              C_0402_1005Metric                     1.4173    -1.3583    0.0000  bottom
C14       100n             C_0402_1005Metric                     1.4173    -1.3189  180.0000  bottom
C15       1u               C_0402_1005Metric                     1.4173    -1.2795  180.0000  bottom
R1        2k               R_0402_1005Metric                     1.2047    -1.2717    0.0000  bottom
R2        10k              R_0402_1005Metric                     1.3228    -1.2756    0.0000  bottom
R6        10k              R_0402_1005Metric                     0.9764    -1.3114  -90.0000  bottom
R7        10k              R_0402_1005Metric                     0.9370    -1.3106   90.0000  bottom
R11       100k             R_0402_1005Metric                     1.4173    -1.3976    0.0000  bottom
U2        OPA333           SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR     1.0866    -1.3110    0.0000  bottom
C1        10uF             C_0402_1005Metric                     1.1142    -1.2283  180.0000  top
C2        100nF            C_0402_1005Metric                     1.1299    -1.1693  -90.0000  top
C3        10nF             C_0402_1005Metric                     1.1024    -1.3622    0.0000  top
C8        1uF              C_0402_1005Metric                     1.0866    -1.3189  180.0000  top
C10       1uF              C_0402_1005Metric                     1.0157    -1.2520    0.0000  top
J1        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.0061    -1.0630    0.0000  top
J2        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.0561    -1.0630    0.0000  top
J3        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.1061    -1.0630    0.0000  top
J4        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.1561    -1.0630    0.0000  top
J5        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.2061    -1.0630    0.0000  top
J6        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.2561    -1.0630    0.0000  top
J7        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.3061    -1.0630  180.0000  top
J8        Conn_01x01_Pin   PinHeader_1x01_P1.27mm_Vertical       1.3561    -1.0630    0.0000  top
R3        330              R_0402_1005Metric                     1.0866    -1.1417  -90.0000  top
R4        4k               R_0402_1005Metric                     1.1024    -1.4016  180.0000  top
R5        4k               R_0402_1005Metric                     1.1811    -1.3937  180.0000  top
R8        100k             R_0402_1005Metric                     1.0276    -1.3189   90.0000  top
R9        1M               R_0402_1005Metric                     1.1063    -1.2677    0.0000  top
R10       1k               R_0402_1005Metric                     1.1969    -1.3150    0.0000  top
R12       1k               R_0402_1005Metric                     1.4094    -1.3740   90.0000  top
U1        INA350ABSIDSGR   WSON-8_L2.0-W2.0-P0.50-TL-EP          0.9587    -1.3366   90.0000  top
U3        AP2112K-3.3TRG1  SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL     0.9843    -1.1591  -90.0000  top
U4        OPA333           SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR     1.3189    -1.3543    0.0000  top
U5        CJ432            SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR     1.2087    -1.2165   90.0000  top
U6        LIS3DHTR         LGA-16_L3.0-W3.0-P0.50-TL             1.3672    -1.1927  180.0000  top
## End
