Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,0.3,4.6,0.0,top
J1,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-4.445,10.0,0.0,top
J2,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-3.175,10.0,0.0,top
J3,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-1.905,10.0,0.0,top
J4,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-0.635,10.0,0.0,top
J5,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,0.635,10.0,0.0,top
J6,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,1.905,10.0,0.0,top
J7,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,3.175,10.0,180.0,top
J8,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,4.445,10.0,0.0,top
J11,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,1.905,-0.0,0.0,top
J12,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,0.635,-0.0,0.0,top
J13,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,3.175,-0.0,0.0,top
J14,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,4.445,-0.0,0.0,top
J15,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-0.635,2.54,-90.0,top
J16,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,0.635,2.54,-90.0,top
J17,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,0.635,1.27,-90.0,top
J20,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-3.175,-0.0,0.0,top
J21,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-4.445,-0.0,0.0,top
J22,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-1.905,-0.0,0.0,top
J23,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-0.635,-0.0,0.0,top
J24,Conn_01x01_Pin,PinHeader_1x01_P1.27mm_Vertical,-0.635,1.27,-90.0,top
Q1,AO4882_C3040598,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,4.6,4.9,180.0,bottom
Q2,AO4882_C3040598,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,-4.6,4.9,180.0,bottom
R1,1k,R_0402_1005Metric,2.8,7.412427,-90.0,top
R2,10K,R_0402_1005Metric,-2.3,5.0,-90.0,top
R3,1k,R_0402_1005Metric,6.3,6.9,180.0,top
R4,2k,R_0402_1005Metric,3.8,7.412427,-90.0,top
R5,2k,R_0402_1005Metric,4.8,8.0,-90.0,top
R6,1k,R_0402_1005Metric,-6.2,6.9,0.0,top
R7,1k,R_0402_1005Metric,-2.7,7.4,-90.0,top
R8,2k,R_0402_1005Metric,-4.7,8.0,-90.0,top
R9,2k,R_0402_1005Metric,-3.7,7.4,-90.0,top
SW1,TS-1088R-02026,SW-SMD_L3.9-W3.0-P4.45,0.0,6.4,90.0,bottom
U1,DS12W-MS,SOD-123FL_L2.7-W1.8-LS3.8-RD,-4.1,3.6,90.0,top
U2,DS12W-MS,SOD-123FL_L2.7-W1.8-LS3.8-RD,6.2,3.6,90.0,top
U3,DS12W-MS,SOD-123FL_L2.7-W1.8-LS3.8-RD,4.1,3.6,90.0,top
U4,HC32L110C6UA-SFN20TR,WQFN-20_L3.0-W3.0-P0.40-BL-EP,0.0,7.1,0.0,top
U5,DS12W-MS,SOD-123FL_L2.7-W1.8-LS3.8-RD,-6.2,3.6,90.0,top
