Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,115.4,-97.4,180.0,top
C2,0.1uF,C_0402_1005Metric,111.0,-99.0,90.0,top
C3,22pF,C_0402_1005Metric,119.5,-98.02,-90.0,top
C4,22pF,C_0402_1005Metric,119.5,-99.98,90.0,top
R1,10k,R_0402_1005Metric,113.2,-104.7,0.0,top
R2,10k,R_0402_1005Metric,111.2,-97.41,0.0,top
R3,10k,R_0402_1005Metric,113.3,-97.4,180.0,top
R4,10k,R_0402_1005Metric,117.0,-103.0,90.0,top
R5,10k,R_0402_1005Metric,115.2,-104.7,180.0,top
R6,10k,R_0402_1005Metric,111.0,-102.6,-90.0,top
U1,bno055,LGA-28_5.2x3.8mm_BNO0055,114.0,-101.0,-90.0,top
Y1,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,117.7,-99.0,-90.0,top
