Comment,Designator,Footprint,LCSC
Conn_01x01_Pin,J13,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J12,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J11,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J10,PinHeader_1x01_P2.54mm_Vertical,
jack2.5_PJ-210B,J9,Jack_Socket_PJ-210B,
Conn_01x01_Pin,J15,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J14,Pin_D1.2mm_pogo,
jack2.5_PJ-210B,J6,Jack_Socket_PJ-210B,
jack2.5_PJ-210B,J3,Jack_Socket_PJ-210B,
jack2.5_PJ-210B,J1,Jack_Socket_PJ-210B,
jack2.5_PJ-210B,J4,Jack_Socket_PJ-210B,
jack2.5_PJ-210B,J2,Jack_Socket_PJ-210B,
jack2.5_PJ-210B,J5,Jack_Socket_PJ-210B,
jack2.5_PJ-210B,J7,Jack_Socket_PJ-210B,
jack2.5_PJ-210B,J8,Jack_Socket_PJ-210B,
Conn_01x01_Pin,J25,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J21,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J20,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J18,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J23,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J16,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J27,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J24,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J26,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J17,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J22,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J19,Pin_D1.2mm_pogo,
