Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,jack2.5_PJ-210B,Jack_Socket_PJ-210B,28.000001,-26.5,0.0,top
J2,jack2.5_PJ-210B,Jack_Socket_PJ-210B,27.500001,-53.5,180.0,top
J3,jack2.5_PJ-210B,Jack_Socket_PJ-210B,36.000001,-26.5,0.0,top
J4,jack2.5_PJ-210B,Jack_Socket_PJ-210B,36.000001,-53.499999,180.0,top
J5,jack2.5_PJ-210B,Jack_Socket_PJ-210B,44.000001,-53.499999,180.0,top
J6,jack2.5_PJ-210B,Jack_Socket_PJ-210B,44.000001,-26.5,0.0,top
J7,jack2.5_PJ-210B,Jack_Socket_PJ-210B,52.000001,-27.0,0.0,top
J8,jack2.5_PJ-210B,Jack_Socket_PJ-210B,52.000001,-53.499999,180.0,top
J9,jack2.5_PJ-210B,Jack_Socket_PJ-210B,57.0,-40.0,-90.0,top
J10,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,52.500001,-45.0,180.0,top
J11,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,52.500001,-35.0,180.0,top
J12,Conn_01x01_Pin,Pin_D1.2mm_pogo,32.375001,-41.75,90.0,bottom
J13,Conn_01x01_Pin,Pin_D1.2mm_pogo,32.375001,-45.0,90.0,bottom
J14,Conn_01x01_Pin,Pin_D1.2mm_pogo,37.625,-39.0,90.0,bottom
J15,Conn_01x01_Pin,Pin_D1.2mm_pogo,37.375001,-45.0,90.0,bottom
J16,Conn_01x01_Pin,Pin_D1.2mm_pogo,42.625001,-45.0,270.0,bottom
J17,Conn_01x01_Pin,Pin_D1.2mm_pogo,42.375,-39.0,270.0,bottom
J18,Conn_01x01_Pin,Pin_D1.2mm_pogo,47.625001,-45.0,270.0,bottom
J19,Conn_01x01_Pin,Pin_D1.2mm_pogo,47.625001,-41.75,270.0,bottom
J20,Conn_01x01_Pin,Pin_D1.2mm_pogo,32.375001,-38.25,90.0,bottom
J21,Conn_01x01_Pin,Pin_D1.2mm_pogo,32.375001,-35.0,90.0,bottom
J22,Conn_01x01_Pin,Pin_D1.2mm_pogo,37.75,-34.75,90.0,bottom
J23,Conn_01x01_Pin,Pin_D1.2mm_pogo,37.375001,-41.75,90.0,bottom
J24,Conn_01x01_Pin,Pin_D1.2mm_pogo,42.625001,-41.75,270.0,bottom
J25,Conn_01x01_Pin,Pin_D1.2mm_pogo,42.25,-34.875,270.0,bottom
J26,Conn_01x01_Pin,Pin_D1.2mm_pogo,47.625001,-35.0,270.0,bottom
J27,Conn_01x01_Pin,Pin_D1.2mm_pogo,47.625001,-38.25,270.0,bottom
