"Reference","Value","Footprint","DNP","LCSC"
"J1","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J2","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J3","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J4","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J5","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J6","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J7","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J8","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J9","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J10","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","",""
"J11","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","",""
"J12","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J13","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J14","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J15","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J16","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J17","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J18","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J19","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J20","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J21","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J22","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J23","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J24","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J25","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J26","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J27","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
