Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Chip,C_1206_3216Metric,26.815,-24.625,0.0,top
C1,3.3pF,C_0402_1005Metric,23.54,-23.87,180.0,top
C10,0.1uF,C_0402_1005Metric,31.21,-29.16,-90.0,top
C12,3.3pF,C_0402_1005Metric,23.07,-26.31,-90.0,top
C2,1uF,C_0402_1005Metric,32.71,-29.39,180.0,top
C3,3.3pF,C_0402_1005Metric,23.06,-28.19,90.0,top
C4,22pF,C_0402_1005Metric,23.18,-31.24,90.0,top
C5,22pF,C_0402_1005Metric,23.215,-33.125,-90.0,top
C6,10uF,C_0402_1005Metric,27.515,-35.025,180.0,top
C7,0.1uF,C_0402_1005Metric,26.015,-35.525,-90.0,top
C8,1uF,C_0402_1005Metric,32.71,-30.31,180.0,top
C9,1uF,C_0402_1005Metric,31.18,-31.21,-90.0,top
L1,2.2nH,L_0402_1005Metric,23.54,-24.88,0.0,top
LED1,WS2812C-2020-V1,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,25.615,-24.725,180.0,bottom
LED2,WS2812C,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,34.015,-24.725,180.0,bottom
R1,10K,R_0402_1005Metric,29.815,-34.375,270.0,bottom
R2,47.5k,R_0402_1005Metric,32.71,-28.46,0.0,top
R3,1M,R_0402_1005Metric,33.31,-36.46,180.0,top
R4,10k,R_0402_1005Metric,29.525,-35.305,90.0,top
R5,10k,R_0402_1005Metric,27.515,-36.025,180.0,top
R6,250K,R_0402_1005Metric,35.53,-36.46,0.0,top
SW1,TS-1088R-02026,SW-SMD_L3.9-W3.0-P4.45,26.015,-34.425,0.0,bottom
SW2,~,SW-SMD_L3.9-W3.0-P4.45,26.015,-31.075,180.0,bottom
U1,MCP73831/2,SOT-23-5,35.415,-30.31875,90.0,top
U2,ESP32-C3FH4,ESP32-C3FH4,26.815,-31.075,90.0,top
U3,MIC5504,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,32.715,-31.57,0.0,top
Y1,XTAL_40MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,24.100001,-35.525,0.0,top
