Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,XF2J-1824-12A,XF2J-1824-12A,151.143,-114.249999,90.0,top
J2,XF2J-1824-12A,XF2J-1824-12A,108.857,-105.750001,-90.0,top
TP1,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-88.41,180.0,top
TP2,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-90.95,180.0,top
TP3,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-93.49,180.0,top
TP4,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-96.03,180.0,top
TP5,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-98.57,180.0,top
TP6,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-101.11,180.0,top
TP7,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-103.65,180.0,top
TP8,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-106.19,180.0,top
TP9,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-108.73,180.0,top
TP10,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-111.27,180.0,top
TP11,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-113.81,180.0,top
TP12,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-116.35,180.0,top
TP13,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-118.89,180.0,top
TP14,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-121.43,180.0,top
TP15,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-123.97,180.0,top
TP16,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-126.51,180.0,top
TP17,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-129.05,180.0,top
TP18,TestPoint,PinHeader_1x01_P2.54mm_Vertical,140.16,-131.59,180.0,top
TP19,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-88.41,0.0,top
TP20,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-90.95,0.0,top
TP21,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-93.49,0.0,top
TP22,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-96.03,0.0,top
TP23,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-98.57,0.0,top
TP24,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-101.11,0.0,top
TP25,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-103.65,0.0,top
TP26,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-106.19,0.0,top
TP27,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-108.73,0.0,top
TP28,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-111.27,0.0,top
TP29,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-113.81,0.0,top
TP30,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-116.35,0.0,top
TP31,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-118.89,0.0,top
TP32,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-121.43,0.0,top
TP33,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-123.97,0.0,top
TP34,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-126.51,0.0,top
TP35,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-129.05,0.0,top
TP36,TestPoint,PinHeader_1x01_P2.54mm_Vertical,119.84,-131.59,0.0,top
