A1, 2.00, 22.00, 270.00, 0R-JUMPC, C0R-JMP
A2, 2.00, 24.50, 270.00, 0R-JUMPC, C0R-JMP
ADC, 7.70, 32.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
AMP, 14.70, 29.10, 270.00, INA326EA/250, SOP65P490X110-8N
C1, 11.34, 29.37, 90.00, 0.1nF, C0402
C2, 7.40, 27.85, 90.00, 1nF, C0402
C3, 14.50, 24.00, 90.00, 0.1nF, C0402
C4, 20.50, 22.00, 0.00, 0.1nF, C0402
C5, 13.50, 10.00, 0.00, 0.1nF, C0402
C6, 9.50, 3.00, 270.00, 0.1nF, C0402
C7, 11.50, 2.50, 90.00, 0.1nF, C0402
C8, 11.00, 34.50, 90.00, 0.1nF, C0402
C9, 12.80, 34.55, 90.00, 0.1nF, C0402
D3, 7.60, 16.00, 270.00, HSMS-285C, SOT323
IC1, 14.00, 15.00, 180.00, LMV324M, SO14
L, 6.00, 6.00, 180.00, , CHIP-LED0603
R1, 17.70, 29.10, 270.00, 100k, R0402
R10, 10.00, 9.50, 180.00, 100k, R0402
R11, 10.00, 7.00, 0.00, 100k, R0402
R12, 7.50, 19.00, 180.00, 100k, R0402
R13, 10.67, 24.44, 0.00, 100k, R0402
R14, 7.00, 22.00, 0.00, 100k, R0402
R15, 6.00, 9.00, 270.00, , R0402
R16, 4.50, 20.00, 90.00, 100k, R0402
R17, 4.50, 17.00, 270.00, 100k, R0402
R2, 9.50, 27.90, 90.00, 100k, R0402
R3, 17.00, 20.50, 0.00, 100k, R0402
R4, 17.00, 10.00, 0.00, 100k, R0402
R5, 12.50, 23.50, 270.00, 100k, R0402
R6, 17.00, 23.00, 180.00, 100k, R0402
R7, 6.00, 24.50, 180.00, 100k, R0402
R8, 10.00, 21.00, 270.00, 100k, R0402
R9, 6.90, 12.30, 0.00, 100k, R0402
TLE, 15.40, 4.60, 180.00, TLE2426CD, SO-8
X1, 21.20, 13.00, 90.00, 009176002, 009176002
X2, 21.20, 18.00, 270.00, 009176002, 009176002
X4, 1.80, 13.00, 90.00, 009176002, 009176002
X6, 1.80, 18.00, 270.00, 009176002, 009176002
