A1, 2.00, 22.00, 270.00, 0R-JUMPC, C0R-JMP
A10, 2.00, 61.50, 270.00, 0R-JUMPC, C0R-JMP
A11, 27.00, 59.00, 270.00, 0R-JUMPC, C0R-JMP
A12, 27.00, 61.50, 270.00, 0R-JUMPC, C0R-JMP
A13, 52.00, 59.00, 270.00, 0R-JUMPC, C0R-JMP
A14, 52.00, 61.50, 270.00, 0R-JUMPC, C0R-JMP
A15, 77.00, 59.00, 270.00, 0R-JUMPC, C0R-JMP
A16, 77.00, 61.50, 270.00, 0R-JUMPC, C0R-JMP
A2, 2.00, 24.50, 270.00, 0R-JUMPC, C0R-JMP
A3, 27.00, 22.00, 270.00, 0R-JUMPC, C0R-JMP
A4, 27.00, 24.50, 270.00, 0R-JUMPC, C0R-JMP
A5, 52.00, 22.00, 270.00, 0R-JUMPC, C0R-JMP
A6, 52.00, 24.50, 270.00, 0R-JUMPC, C0R-JMP
A7, 77.00, 22.00, 270.00, 0R-JUMPC, C0R-JMP
A8, 77.00, 24.50, 270.00, 0R-JUMPC, C0R-JMP
A9, 2.00, 59.00, 270.00, 0R-JUMPC, C0R-JMP
ADC, 7.70, 32.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
ADC1, 32.70, 32.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
ADC2, 57.70, 32.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
ADC3, 82.70, 32.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
ADC4, 7.70, 69.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
ADC5, 32.70, 69.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
ADC6, 57.70, 69.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
ADC7, 82.70, 69.70, 90.00, MICROCHIP_MCP3427-E-UNMICROCHIP_MCP3427-E-UN_0_0, MICROCHIP_MCP3427-E-UN_0
AMP, 14.70, 29.10, 270.00, INA326EA/250, SOP65P490X110-8N
AMP1, 39.70, 29.10, 270.00, INA326EA/250, SOP65P490X110-8N
AMP2, 64.70, 29.10, 270.00, INA326EA/250, SOP65P490X110-8N
AMP3, 89.70, 29.10, 270.00, INA326EA/250, SOP65P490X110-8N
AMP4, 14.70, 66.10, 270.00, INA326EA/250, SOP65P490X110-8N
AMP5, 39.70, 66.10, 270.00, INA326EA/250, SOP65P490X110-8N
AMP6, 64.70, 66.10, 270.00, INA326EA/250, SOP65P490X110-8N
AMP7, 89.70, 66.10, 270.00, INA326EA/250, SOP65P490X110-8N
C1, 11.34, 29.37, 90.00, 0.1nF, C0402
C10, 36.34, 29.37, 90.00, 0.1nF, C0402
C11, 32.40, 27.85, 90.00, 1nF, C0402
C12, 39.50, 24.00, 90.00, 0.1nF, C0402
