Designator,Mid X,Mid Y,Layer,Rotation
AND_IC, 3.23,12.08,Top,180.0
AND_IC1,24.73,12.08,Top,180.0
AND_IC2,46.24,12.08,Top,180.0
AND_IC3,67.75,12.08,Top,180.0
AND_IC4, 3.23,31.08,Top,180.0
AND_IC5,24.73,31.08,Top,180.0
AND_IC6,46.24,31.08,Top,180.0
AND_IC7,67.75,31.08,Top,180.0
AND_IC8, 3.23,50.09,Top,180.0
AND_IC9,24.73,50.09,Top,180.0
AND_IC10,46.24,50.09,Top,180.0
AND_IC11,67.75,50.09,Top,180.0
AND_IC12, 3.23,69.11,Top,180.0
AND_IC13,24.73,69.11,Top,180.0
AND_IC14,46.24,69.11,Top,180.0
AND_IC15,67.75,69.11,Top,180.0
C1,39.86, 8.25,Top,180.0
C2,39.46, 2.80,Top,90.0
C3,30.96, 9.60,Top,180.0
C4,40.81, 5.00,Top,90.0
C5,31.46,11.70,Top,90.0
C6,38.71,11.90,Top,270.0
C7,39.81,11.90,Top,270.0
C8,40.26, 9.35,Top,0.0
C9,18.35, 8.25,Top,180.0
C10,17.95, 2.80,Top,90.0
C11, 9.95,11.70,Top,90.0
C12, 9.45, 9.60,Top,180.0
C13,19.30, 5.00,Top,90.0
C14,61.37, 8.25,Top,180.0
C15,60.97, 2.80,Top,90.0
C16,17.20,11.90,Top,270.0
C17,52.47, 9.60,Top,180.0
C18,62.32, 5.00,Top,90.0
C19,18.30,11.90,Top,270.0
C20,18.75, 9.35,Top,0.0
C21,52.97,11.70,Top,90.0
C22,60.22,11.90,Top,270.0
C23,61.32,11.90,Top,270.0
C24,61.77, 9.35,Top,0.0
C25,82.88, 8.25,Top,180.0
C26,82.48, 2.80,Top,90.0
C27,73.98, 9.60,Top,180.0
C28,83.83, 5.00,Top,90.0
C29,74.48,11.70,Top,90.0
C30,81.73,11.90,Top,270.0
C31,82.83,11.90,Top,270.0
C32,83.28, 9.35,Top,0.0
C33,18.35,27.26,Top,180.0
C34,17.95,21.81,Top,90.0
C35, 9.45,28.61,Top,180.0
C36,19.30,24.01,Top,90.0
C37, 9.95,30.71,Top,90.0
C38,17.20,30.91,Top,270.0
C39,18.30,30.91,Top,270.0
C40,18.75,28.36,Top,0.0
C41,39.86,27.26,Top,180.0
C42,39.46,21.81,Top,90.0
C43,30.96,28.61,Top,180.0
C44,40.81,24.01,Top,90.0
C45,31.46,30.71,Top,90.0
C46,38.71,30.91,Top,270.0
C47,39.81,30.91,Top,270.0
C48,40.26,28.36,Top,0.0
C49,61.37,27.26,Top,180.0
C50,60.97,21.81,Top,90.0
C51,52.47,28.61,Top,180.0
C52,62.32,24.01,Top,90.0
C53,52.97,30.71,Top,90.0
C54,60.22,30.91,Top,270.0
C55,61.32,30.91,Top,270.0
C56,61.77,28.36,Top,0.0
C57,82.88,27.26,Top,180.0
C58,82.48,21.81,Top,90.0
C59,73.98,28.61,Top,180.0
C60,83.83,24.01,Top,90.0
C61,74.48,30.71,Top,90.0
C62,81.73,30.91,Top,270.0
C63,82.83,30.91,Top,270.0
C64,83.28,28.36,Top,0.0
