"Reference","Value","Footprint","DNP","LCSC"
"J1","XF2J-1824-12A","00_custom-footprints:XF2J-1824-12A","",""
"J3","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J4","Conn_01x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","",""
"J5","Conn_01x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","",""
"J6","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","",""
"J7","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","",""
"FPC2","FPC-05F-18PH20","00_lcsc:FPC-SMD_18P-P0.50_X05C2018TZ","","C2856802"
"J5","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"U1","Teensy4.0","00_custom-footprints:Teensy40_simple","",""
"C1","4.7uF","Capacitor_SMD:C_0402_1005Metric","",""
"FPC1","FPC-05F-18PH20","00_lcsc:FPC-SMD_18P-P0.50_FPC-05F-18PH20","","C2856802"
"FPC2","FPC-05F-18PH20","00_lcsc:FPC-SMD_18P-P0.50_FPC-05F-18PH20","","C2856802"
"I1","smd_insert","00_Custom:insert_1.2mm","",""
"LED1","WS2812C-2020-V1","00_lcsc:LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020","","C2976072"
"LED2","WS2812C","00_lcsc:LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020","","C2976072"
"R1","10K","Resistor_SMD:R_0402_1005Metric","",""
"SW1","TS-1088R-02026","00_lcsc:SW-SMD_L3.9-W3.0-P4.45","","C455280"
"U1","HC32L110C6UA","00_Custom:QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm","",""
"U2","74HC688","digikey-footprints:TSSOP-20_W4.4mm","",""
"I3","smd_insert","00_custom-footprints:insert_1.2mm","",""
"I4","smd_insert","00_custom-footprints:insert_1.2mm","",""
"J1","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J2","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J3","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J4","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J5","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J6","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J7","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J8","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J9","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J10","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J11","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J12","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J13","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J14","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J15","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J16","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J17","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J18","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J19","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J20","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J21","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J22","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J23","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J24","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
