Comment,Designator,Footprint,LCSC
MCP3564RT-ENC,U1,MCP3564RT-E&slash_NC,C625488
1515,D4,neopixel_1515,
1515,D3,neopixel_1515,
1515,D2,neopixel_1515,
1515,D1,neopixel_1515,
10R,R6,R_0402_1005Metric,
10R,R7,R_0402_1005Metric,
COM_OUT,J2,XF2J-1824-12A,
COM_IN,J1,XF2J-1824-12A,
10R,R1,R_0402_1005Metric,
100nF,C2,C_0402_1005Metric,
1-4_neo_bridge,JP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,
SN74LVC86ARGYR,U2,SN74LVC86ARGYR,
10R,R4,R_0402_1005Metric,
10uF,C3,C_0402_1005Metric,
100nF,C1,C_0402_1005Metric,
SN74ALVC08RGYR,U4,SN74ALVC08RGYR,
10R,R8,R_0402_1005Metric,
DCK5,U5,SN74LVC1G132DCKR,
10R,R3,R_0402_1005Metric,
10R,R5,R_0402_1005Metric,
10R,R2,R_0402_1005Metric,
