Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,170.0,-102.2,-90.0,top
C2,100nF,C_0402_1005Metric,167.0,-102.2,90.0,top
C3,10uF,C_0402_1005Metric,172.03,-98.59,0.0,top
D1,1515,neopixel_1515,143.2,-101.0,90.0,top
D2,1515,neopixel_1515,152.0,-101.0,90.0,top
D3,1515,neopixel_1515,163.19,-101.0,90.0,top
D4,1515,neopixel_1515,171.8,-101.0,90.0,top
J1,COM_IN,XF2J-1824-12A,153.250001,-107.343,0.0,top
J2,COM_OUT,XF2J-1824-12A,161.749999,-94.657,180.0,top
R1,10R,R_0402_1005Metric,166.0,-103.0,-90.0,top
R2,10R,R_0402_1005Metric,165.4,-101.5,180.0,top
R3,10R,R_0402_1005Metric,165.4,-100.5,180.0,top
R4,10R,R_0402_1005Metric,165.4,-99.5,180.0,top
R5,10R,R_0402_1005Metric,165.4,-98.5,180.0,top
R6,10R,R_0402_1005Metric,165.74,-97.42,180.0,top
R7,10R,R_0402_1005Metric,169.0,-102.2,-90.0,top
R8,10R,R_0402_1005Metric,168.0,-102.2,-90.0,top
U1,MCP3564RT-ENC,MCP3564RT-E&slash_NC,168.5,-99.1,180.0,top
U2,SN74LVC86ARGYR,SN74LVC86ARGYR,146.86,-100.01,90.0,top
U4,SN74ALVC08RGYR,SN74ALVC08RGYR,145.400001,-105.569001,-90.0,top
U5,SN74LVC1G132DCKR,SN74LVC1G132DCKR,148.04,-95.73,90.0,top
