Comment,Designator,Footprint,LCSC,Quantity
100nF,"C11,C4",C_0402_1005Metric,C1525,2
10k,"R10,R17",R_0201_0603Metric,C25744,2
1uF,C28,C_0201_0603Metric,C52923,1
BQ27421YZFR-G1A,U6,DSBGA-9_L1.5-W1.5-R3-C3-P0.50-BL,C139621,1
ICM-42670-L,U2,LGA-14_L3.0-W2.5-P0.50-TL_QMI8658A,C49073546,1
WS2812,U10,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,C2976072,1
XIAO-ESP32-S3-DIP,U1,XIAO-ESP32S3-DIP,,1
Conn_01x02_Pin,J2,PinHeader_1x02_P1.27mm_Vertical,,1
Conn_01x02_Pin,J1,PinHeader_1x02_P1.27mm_Vertical,,1
Conn_01x10_Pin,J4,PinHeader_1x10_P1.27mm_Vertical,,1
