Comment,Designator,Footprint,LCSC,Quantity
0.33,"R1,R2",R_1206_3216Metric,C25337,2
10nF,C6,C_0402_1005Metric,C15195,1
18k,R5,R_0402_1005Metric,C25762,1
1k,"R3,R6,R7",R_0402_1005Metric,C11702,3
2.2uF,C3,C_0402_1005Metric,C12530,1
2.2uF - 16V ceramic X7R,C7,C_0603_1608Metric,C23630,1
22nF,C5,C_0402_1005Metric,C1532,1
22uF,C4,C_0402_1005Metric,C105226,1
47k,R4,R_0402_1005Metric,C25792,1
FNR5040S330MT,"L1,L2",IND-SMD_L5.0-W5.0_FNR50XXS,C167973,2
STSPIN240,U3,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,C962258,1
