Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,2.2uF,C_0402_1005Metric,29.1,-36.6,90.0,top
C4,22uF,C_0402_1005Metric,30.1,-36.6,90.0,top
C5,22nF,C_0402_1005Metric,24.2,-33.790001,-90.0,top
C6,10nF,C_0402_1005Metric,23.4,-36.790001,-90.0,top
C7,2.2uF - 16V ceramic X7R,C_0603_1608Metric,30.1,-33.9,270.0,bottom
L1,FNR5040S330MT,IND-SMD_L5.0-W5.0_FNR50XXS,34.2,-33.3,180.0,bottom
L2,FNR5040S330MT,IND-SMD_L5.0-W5.0_FNR50XXS,26.1,-35.0,0.0,bottom
R1,0.33,R_1206_3216Metric,26.2,-38.7,180.0,bottom
R2,0.33,R_1206_3216Metric,30.09,-33.892501,0.0,top
R3,1k,R_0402_1005Metric,25.2,-33.790001,90.0,top
R4,47k,R_0402_1005Metric,24.0,-35.290001,180.0,top
R5,18k,R_0402_1005Metric,24.4,-36.790001,-90.0,top
R6,1k,R_0402_1005Metric,26.2,-33.790001,-90.0,top
R7,1k,R_0402_1005Metric,27.2,-33.790001,90.0,top
U3,STSPIN240,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,26.89,-36.640001,0.0,top
