Status,RefDes,Qty,LCSC,BOM_Comment,LCSC_Package,LCSC_Describe,Matched,Issues,FallbackNote
OK,U2,1,C882732,ADS1298CZXGT,,0℃~+70℃ 112dB 2.7V~5.25V 24 5ppm/℃ NFBGA-64 Analog Front End (AFE) ROHS,model/brand,,
OK,SW1,1,C455280,TS-1088R-02026,,"100,000 Cycles 12V 2.6N 2.93mm 2mm 3.9mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",model/brand,,
N/A,J1,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,J5,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,J4,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,R2,1,,10K,,,,no LCSC,
N/A,J8,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,J7,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,J25,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,J26,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,J2,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,J6,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,J3,1,,Conn_01x01_Pin,,,,no LCSC,
N/A,C2,1,,1uF,,,,no LCSC,
N/A,C11,1,,1uF,,,,no LCSC,
N/A,C13,1,,10uF,,,,no LCSC,
N/A,C14,1,,100nF,,,,no LCSC,
N/A,C1,1,,1uF,,,,no LCSC,
N/A,C3,1,,1uF,,,,no LCSC,
N/A,C10,1,,1nF,,,,no LCSC,
N/A,U1,1,,AP2112K-3.3TRG1,,,,no LCSC,
N/A,C5,1,,1uF,,,,no LCSC,
N/A,C7,1,,1.5nF,,,,no LCSC,
N/A,R1,1,,1M,,,,no LCSC,
N/A,C4,1,,100nF,,,,no LCSC,
N/A,C8,1,,10uF,,,,no LCSC,
N/A,C15,1,,22uF,,,,no LCSC,
N/A,C9,1,,100nF,,,,no LCSC,
N/A,C12,1,,1uF,,,,no LCSC,
N/A,C6,1,,100nF,,,,no LCSC,
