Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,-1.7,-4.2,180.0,top
C10,1uF,C_0402_1005Metric,-6.1,-4.9,0.0,top
C11,1uF,C_0402_1005Metric,-5.1,-3.4,90.0,bottom
C12,100nF,C_0402_1005Metric,3.6,-6.4,180.0,bottom
C13,1uF,C_0402_1005Metric,6.0,-7.5,180.0,bottom
C14,100nF,C_0402_1005Metric,6.0,-6.5,0.0,bottom
C15,1uF,C_0402_1005Metric,6.0,-5.5,0.0,bottom
C2,100nF,C_0402_1005Metric,-1.3,-2.7,-90.0,top
C3,10nF,C_0402_1005Metric,0.2,-7.5,0.0,top
C4,100pF,C_0402_1005Metric,-2.3,-8.7,90.0,bottom
C5,100pF,C_0402_1005Metric,-1.2,-8.7,270.0,bottom
C6,1uF,C_0402_1005Metric,-6.21,-2.92,90.0,bottom
C7,1uF,C_0402_1005Metric,-5.9,-7.8,0.0,bottom
C8,1uF,C_0402_1005Metric,-3.7,-8.1,180.0,bottom
C9,100nF,C_0402_1005Metric,-5.9,-8.9,180.0,bottom
R1,2k,R_0402_1005Metric,0.6,-5.3,180.0,bottom
R10,1k,R_0402_1005Metric,2.0,-5.9,0.0,top
R11,100k,R_0402_1005Metric,6.0,-8.5,180.0,bottom
R12,1k,R_0402_1005Metric,6.3,-5.7,180.0,top
R13,0,R_0402_1005Metric,0.3,-7.6,0.0,bottom
R14,0,R_0402_1005Metric,6.2,-0.0,0.0,top
R2,10k,R_0402_1005Metric,3.6,-5.4,180.0,bottom
R3,330,R_0402_1005Metric,-2.4,-2.0,-90.0,top
R4,4.7k,R_0402_1005Metric,-6.0,-9.0,180.0,top
R5,4.7k,R_0402_1005Metric,1.500413,-8.679354,180.0,top
R6,10k,R_0402_1005Metric,-5.2,-6.31,270.0,bottom
R7,10k,R_0402_1005Metric,-6.2,-6.29,90.0,bottom
R8,100k,R_0402_1005Metric,-5.6,-4.8,0.0,bottom
R9,1M,R_0402_1005Metric,-0.2,-5.2,0.0,top
U1,INA331IDGKR,VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,-3.8,-7.2,-90.0,top
U2,OPA333,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,-2.4,-6.0,180.0,bottom
U3,AP2112K-3.3TRG1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,-5.0,-2.4402,-90.0,top
U4,OPA333,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,5.3,-7.6,0.0,top
U5,CJ432,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1.0,-3.2,90.0,top
U6,LIS3DHTR,LGA-16_L3.0-W3.0-P0.50-TL,4.7275,-3.295,180.0,top
