Comment,Designator,Footprint,LCSC,Quantity
0,"R13,R14",R_0402_1005Metric,C17168,2
100k,"R11,R8",R_0402_1005Metric,C25741,2
100nF,"C12,C14,C2,C9",C_0402_1005Metric,C1525,4
100pF,"C4,C5",C_0402_1005Metric,C1546,2
10k,"R2,R6,R7",R_0402_1005Metric,C25744,3
10nF,C3,C_0402_1005Metric,C15195,1
10uF,C1,C_0402_1005Metric,C15525,1
1M,R9,R_0402_1005Metric,C26083,1
1k,"R10,R12",R_0402_1005Metric,C11702,2
1uF,"C10,C11,C13,C15,C6,C7,C8",C_0402_1005Metric,C52923,7
2k,R1,R_0402_1005Metric,C4109,1
330,R3,R_0402_1005Metric,C25104,1
4.7k,"R4,R5",R_0402_1005Metric,C25900,2
AP2112K-3.3TRG1,U3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118,1
CJ432,U5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C2910208,1
INA331IDGKR,U1,VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,C2863664,1
LIS3DHTR,U6,LGA-16_L3.0-W3.0-P0.50-TL,C15134,1
OPA333,"U2,U4",SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C3007938,2
