Status,RefDes,Qty,LCSC,BOM_Comment,LCSC_Package,LCSC_Describe,Matched,Issues,FallbackNote
OK,"R13,R14",2,C17168,0,0402,-55℃~+155℃ 0Ω 50V 62.5mW Thick Film Resistor ±1% ±800ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,model/brand,,
OK,"R11,R8",2,C25741,100k,0402,-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,describe~substring,,
OK,"C12,C14,C2,C9",4,C1525,100nF,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,"C4,C5",2,C1546,100pF,0402,100pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,"R2,R6,R7",3,C25744,10k,0402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,describe~substring,,
OK,C3,1,C15195,10nF,0402,10nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,C1,1,C15525,10uF,0402,10uF 6.3V X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,R9,1,C26083,1M,0402,-55℃~+155℃ 1MΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,describe~substring,,
OK,"R10,R12",2,C11702,1k,0402,-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,describe~substring,,
OK,"C10,C11,C13,C15,C6,C7,C8",7,C52923,1uF,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,R1,1,C4109,2k,0402,-55℃~+155℃ 2kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,describe~substring,,
OK,R3,1,C25104,330,0402,-55℃~+155℃ 330Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,model/brand,,
OK,"R4,R5",2,C25900,4.7k,0402,-55℃~+155℃ 4.7kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,describe~substring,,
OK,U3,1,C51118,AP2112K-3.3TRG1,,-40℃~+85℃@(Ta) 1 250mV@(600mA) 3.3V 50uVrms 55uA 600mA 65dB@(1kHz) 6V Fixed Over Current Protection、Thermal Shutdown、Enable control Positive SOT-25-5 Voltage Re,model/brand,,
OK,U5,1,C2910208,CJ432,,-40℃~+125℃ 1.25V~15V 100mA 100uA Adjustable Parallel ±1.5% SOT-23 Voltage Reference ROHS,model/brand,,
OK,U1,1,C2863664,INA331IDGKR,,-55℃~+125℃ 0.5pA 0.5pA 1 1.7us 2.5V~5.5V 250uV 2MHz 415uA 46nV/√Hz@1kHz 5.5V 50uV/℃ 5V/us 94dB Rail-to-Rail Output VSSOP-8 Instrumentation Amplifiers ROHS,model/brand,,
OK,U6,1,C15134,LIS3DHTR,,"-40℃~+85℃ 1.71V~3.6V 16bit 500nA Accelerometer SPI、I2C X,Y,Z ±16g 运动事件检测 LGA-16(3x3) Accelerometers ROHS",model/brand,,
OK,"U2,U4",2,C3007938,OPA333,,"-40℃~+85℃ 0.16V/us 1 1.8V~5.5V 115dB 140pA 17uA 20nV/℃ 2uV 350kHz 5.5V 55nV/√Hz@1kHz 5mA 70pA Rail-to-Rail Input, Rail-to-Rail Output SOT-23-5 Precision Op Amps",model/brand,,
