Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,26.5,-31.9,0.0,top
C2,1uF,C_0402_1005Metric,24.385,-36.07,180.0,top
C5,100nF,C_0402_1005Metric,29.5,-36.73201,0.0,top
R1,4.7k,R_0402_1005Metric,33.415,-32.0,0.0,top
R2,4.7k,R_0402_1005Metric,32.915,-34.4,90.0,top
R3,4.7k,R_0402_1005Metric,35.815,-32.0,0.0,top
R4,4.7k,R_0402_1005Metric,36.415,-34.4,-90.0,top
R5,4.7k,R_0402_1005Metric,29.385911,-37.77451,180.0,top
R6,4.7k,R_0402_1005Metric,24.450784,-37.472502,0.0,top
R7,4.7k,R_0402_1005Metric,29.375911,-38.80451,0.0,top
R8,4.7k,R_0402_1005Metric,24.450784,-38.522502,0.0,top
U1,MCP1700T-1802E/TT,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,24.875,-33.4,-90.0,top
U3,BSS138BKS,SOT-363_L2.1-W1.3-P0.65-LS2.3-BL,34.715,-34.1,180.0,top
U4,ICM-20948,QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm,30.0,-33.7,0.0,top
U5,BSS138BKS,SOT-363_L2.1-W1.3-P0.65-LS2.3-BL,26.885784,-37.982501,90.0,top
